ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,UltimateSource,Source,Pages
anda1284-1,Andarum,anda1284,Andarum,aod,Papunesia,-4.48734,144.767,Lower Sepik-Ramu,,Zgraggen1972,pp.215-219
andr1248-1,Ahus ,andr1248,Andra-Hus,anx,Papunesia,-2.05894,147.085,Austronesian,,Blust2021,"pp.25, 30, 32, 37, 38"
andr1248-2,Andra-Hus,andr1248,Andra-Hus,anx,Papunesia,-2.05894,147.085,Austronesian,1 CSQ; Field Notes (1980). Andra Island.,Lean1985Vol02,p.39
anem1248-1,Abia,anem1248,Aneme Wake,aby,Papunesia,-9.75911,148.479,Yareban,SIL (1985). Village: Unu.,LeanCentral,p.34
anem1249-1,Anem,anem1249,Anem,anz,Papunesia,-5.54836,148.993,Anem,SIL Word List (1967). Village: Pureling.,Lean1985Vol04,p.80
anem1249-2,Anem (from field notes by M. Kanin),anem1249,Anem,anz,Papunesia,-5.54836,148.993,Anem,"Field Notes (1989), taken by M. Kanin.",LeanWestNewBritain,p.40
anga1290-1,Agaataha,anga1290,Angaataha,agm,Papunesia,-7.15012,146.352,Angan,,Smith1988,p.99
anga1292-1,Augu,anga1292,Angal Heneng,akh,Papunesia,-6.13347,143.478,Nuclear Trans New Guinea,,Williams1940,p.58
anga1293-1,Mendi (Angal Heneng),anga1293,Angal,age,Papunesia,-6.0127,143.592,Nuclear Trans New Guinea,17 CSQs.,Lean1986Vol10,p.30
anga1294-1,Mendi (South Mendi dialect),anga1294,Angal Enen,aoe,Papunesia,-6.23296,143.583,Nuclear Trans New Guinea,6 CSQs. (Nembi Valley).,Lean1986Vol10,p.32
anga1314-1,"Mendi/Dialects [data correspond to three Glottocodes: anga1292, anga1293, anga1294]",anga1314,Angal Mendi,,,,,Nuclear Trans New Guinea,,Franklin2012,pp.44-45
angg1239-1,Yali (Angguruk),angg1239,Angguruk Yali,yli,Papunesia,-4.0836,139.457,Nuclear Trans New Guinea,,Zoellner2017,"pp.15, 78, 89, 124, 133, 152, 161, 172, 191"
ango1254-1,Anggor (Angor Community School),ango1254,Angor,agg,Papunesia,-3.7167,141.199,Senagi,1 CSQ. Angor Community School.,LeanSandaun,p.19
ango1254-2,Anggor (from IMP/SIL),ango1254,Angor,agg,Papunesia,-3.7167,141.199,Senagi,SIL Word List (1976) for 1 to 5; IMP/SIL Questionnaire (1978).,LeanSandaun,p.19
ango1254-3,Senagi,ango1254,Angor,agg,Papunesia,-3.7167,141.199,Senagi,,Laycock1970D14,p.1952
ango1254-4,Senagi (Anggor),ango1254,Angor,agg,Papunesia,-3.7167,141.199,Senagi,,Laycock1971D17,p.2340
ango1255-1,Angoram,ango1255,Angoram,aog,Papunesia,-4.07758,144.028,Lower Sepik-Ramu,"3 CSQs. Villages: Supalu (2), Magendo.",LeanEastSepik,p.43
ango1255-2,Maramba,ango1255,Angoram,aog,Papunesia,-4.07758,144.028,Lower Sepik-Ramu,2 CSQs. Village: Maramba.,LeanEastSepik,p.43
anja1238-1,Bokajim,anja1238,Anjam,boj,Papunesia,-5.45899,145.717,Nuclear Trans New Guinea,,Ray1919,p.329
anja1238-2,Bom,anja1238,Anjam,boj,Papunesia,-5.45899,145.717,Nuclear Trans New Guinea,SIL Word List (1975). Village: Bogadjim.,LeanMadang,p.62
anka1246-1,Ankave,anka1246,Ankave,aak,Papunesia,-7.19444,145.754,Angan,"SIL Word List, R. Speece (1980). Swanson River Valley.",Lean1986Vol11,p.39
