ID,Name,Source,Pages,UltimateSource,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
aman1265-1,Amanab,Laycock1970D16,p.2260,,aman1265,Amanab,amn,Papunesia,-3.51516,141.178,Border
aman1265-2,Amanab (from IMP/SIL),LeanSandaun,pp.17-18,IMP/SIL (1978).,aman1265,Amanab,amn,Papunesia,-3.51516,141.178,Border
aman1265-3,Amanab (Naineri village),LeanSandaun,p.18,SIL Word List (1968). Village: Naineri.,aman1265,Amanab,amn,Papunesia,-3.51516,141.178,Border
amap1240-1,Ama,LeanEastSepik,p.17,IMP/SIL Questionnaire (1978).,amap1240,Ama (Papua New Guinea),amm,Papunesia,-4.20192,141.658,Left May
amap1240-2,Ama,Arsjo1999,p.79,,amap1240,Ama (Papua New Guinea),amm,Papunesia,-4.20192,141.658,Left May
amap1240-3,Ama,Conrad1975,pp.21-24,,amap1240,Ama (Papua New Guinea),amm,Papunesia,-4.20192,141.658,Left May
amba1265-1,Ambai,Galis1955,p.141,,amba1265,Ambai,amk,Papunesia,-1.88126,136.526,Austronesian
amba1265-2,Ambai (Japen),Grace1955pdf49,p.77,,amba1265,Ambai,amk,Papunesia,-1.88126,136.526,Austronesian
amba1269-1,Aion,LeanEastSepik,pp.60-61,1 CSQ. Village: Arango.,amba1269,Ambakich,aew,Papunesia,-4.23181,144.285,Keram
amba1269-2,Aion (No. 1. Porapora),Laycock1971D21,p.2964,,amba1269,Ambakich,aew,Papunesia,-4.23181,144.285,Keram
amba1269-3,Ambakich,Potter2008,p.64,,amba1269,Ambakich,aew,Papunesia,-4.23181,144.285,Keram
amba1269-4,Ambakich (Yaut village),Barlow2021,pp.72-73,,amba1269,Ambakich,aew,Papunesia,-4.23181,144.285,Keram
amba1269-5,Ambakich (field notes),Barlow2018Ambakich,,,amba1269,Ambakich,aew,Papunesia,-4.23181,144.285,Keram
ambe1248-1,Ambelau: Buru,Stokhof1982Vol3.4,p.59,,ambe1248,Ambelau,amv,Papunesia,-3.85919,127.196,Austronesian
ambo1250-1,Ambon Malay,Paauw2009,p.190,,ambo1250,Ambonese Malay,abs,Papunesia,-3.71342,128.184,Austronesian
ambo1250-2,Ambon Maleis,Stokhof1982Vol3.3,pp.210-211,,ambo1250,Ambonese Malay,abs,Papunesia,-3.71342,128.184,Austronesian
ambu1247-1,Abelam (Maprik dialect),Laycock1965,pp.173-174,,ambu1247,Ambulas,abt,Papunesia,-3.7801,143.059,Ndu
ambu1247-2,Abelam (Wosera dialect),Laycock1965,pp.173-174,,ambu1247,Ambulas,abt,Papunesia,-3.7801,143.059,Ndu
ambu1247-3,Abelem (Maprik dialect),LeanEastSepik,p.36,IMP/SIL Questionnaire (1978). Maprik d.,ambu1247,Ambulas,abt,Papunesia,-3.7801,143.059,Ndu
ambu1247-4,Abelem (Wingei dialect),LeanEastSepik,p.35,"5 CSQs. Villages: Wingei (2), Guarip (2), Bapandu (1). Wingei d.",ambu1247,Ambulas,abt,Papunesia,-3.7801,143.059,Ndu
ambu1247-5,Abelem (Wosera dialect: from CSQs),LeanEastSepik,p.35,8 CSQs. Village: Wosera d. region.,ambu1247,Ambulas,abt,Papunesia,-3.7801,143.059,Ndu
ambu1247-6,Abelem (Wosera dialect: Stapigum village),LeanEastSepik,p.36,SIL Word List (1976). Village: Stapigum. (Wosera d.),ambu1247,Ambulas,abt,Papunesia,-3.7801,143.059,Ndu
ambu1247-7,Nagovisi (based on Decker 1981; Evans 2009; The Rosetta Project digital archive 2010 [referred to as ‘Sibe’]),Brown2021,p.31,,ambu1247,Ambulas,abt,Papunesia,-3.7801,143.059,Ndu
amel1241-1,Amele,LeanMadang,p.54,"2 CSQs. Villages: Amele, Sein.",amel1241,Amele,aey,Papunesia,-5.29126,145.687,Nuclear Trans New Guinea
amel1241-2,Amele,Zgraggen1980Mabuso,p.92,,amel1241,Amele,aey,Papunesia,-5.29126,145.687,Nuclear Trans New Guinea
amol1235-1,Aru,LeanSandaun,p.37,1 CSQ. Village: Sunambu.,amol1235,Mol,alx,Papunesia,-3.46843,142.532,Nuclear Torricelli
amol1235-2,Aru,Laycock1967C09,p.60,,amol1235,Mol,alx,Papunesia,-3.46843,142.532,Nuclear Torricelli
